,Date,Wards,Temperature
260,2022-09,Ashoka Pillar,29.776666666666664
261,2022-10,Ashoka Pillar,31.40526315789474
262,2022-11,Ashoka Pillar,24.733333333333334
263,2022-12,Ashoka Pillar,25.83225806451613
264,2019-01,Attiguppe,28.919354838709676
265,2019-02,Attiguppe,33.32857142857143
266,2019-03,Attiguppe,37.31935483870968
267,2019-04,Attiguppe,37.18
268,2019-05,Attiguppe,33.52903225806452
269,2019-06,Attiguppe,30.866666666666667
270,2019-07,Attiguppe,31.193548387096776
271,2019-08,Attiguppe,28.54193548387097
272,2019-09,Attiguppe,30.006666666666664
273,2019-10,Attiguppe,28.36774193548387
274,2019-11,Attiguppe,28.043333333333333
275,2019-12,Attiguppe,26.24516129032258
276,2022-01,Attiguppe,27.693548387096776
277,2022-02,Attiguppe,30.867857142857144
278,2022-03,Attiguppe,32.24516129032258
279,2022-04,Attiguppe,34.78333333333333
280,2022-05,Attiguppe,29.825806451612905
281,2022-06,Attiguppe,28.776666666666664
282,2022-07,Attiguppe,27.112903225806452
283,2022-08,Attiguppe,29.66774193548387
284,2022-09,Attiguppe,29.7
285,2022-10,Attiguppe,31.41578947368421
286,2022-11,Attiguppe,25.09
287,2022-12,Attiguppe,26.18064516129032
288,2019-01,Atturu Layout,29.451612903225808
289,2019-02,Atturu Layout,33.46785714285714
290,2019-03,Atturu Layout,37.78064516129032
291,2019-04,Atturu Layout,37.733333333333334
292,2019-05,Atturu Layout,33.26774193548387
293,2019-06,Atturu Layout,30.926666666666666
294,2019-07,Atturu Layout,31.10967741935484
295,2019-08,Atturu Layout,28.503225806451614
296,2019-09,Atturu Layout,29.896666666666665
297,2019-10,Atturu Layout,27.783870967741933
298,2019-11,Atturu Layout,27.716666666666665
299,2019-12,Atturu Layout,25.958064516129035
300,2022-01,Atturu Layout,26.9
301,2022-02,Atturu Layout,30.460714285714285
302,2022-03,Atturu Layout,32.403225806451616
303,2022-04,Atturu Layout,35.059999999999995
304,2022-05,Atturu Layout,28.79032258064516
305,2022-06,Atturu Layout,27.81
306,2022-07,Atturu Layout,27.061290322580643
307,2022-08,Atturu Layout,29.61935483870968
308,2022-09,Atturu Layout,29.55666666666667
309,2022-10,Atturu Layout,30.931578947368422
310,2022-11,Atturu Layout,24.59
311,2022-12,Atturu Layout,25.190322580645162
312,2019-01,Avalahalli,29.26451612903226
313,2019-02,Avalahalli,33.482142857142854
314,2019-03,Avalahalli,37.42258064516129
315,2019-04,Avalahalli,37.513333333333335
316,2019-05,Avalahalli,33.87419354838709
317,2019-06,Avalahalli,30.903333333333332
318,2019-07,Avalahalli,31.187096774193552
319,2019-08,Avalahalli,28.54193548387097
320,2019-09,Avalahalli,30.113333333333333
321,2019-10,Avalahalli,28.370967741935484
322,2019-11,Avalahalli,28.273333333333333
323,2019-12,Avalahalli,26.42258064516129
324,2022-01,Avalahalli,28.161290322580644
325,2022-02,Avalahalli,31.364285714285717
326,2022-03,Avalahalli,32.76451612903226
327,2022-04,Avalahalli,35.163333333333334
328,2022-05,Avalahalli,30.029032258064515
329,2022-06,Avalahalli,28.866666666666667
330,2022-07,Avalahalli,27.112903225806452
331,2022-08,Avalahalli,29.7
332,2022-09,Avalahalli,29.826666666666664
333,2022-10,Avalahalli,31.57894736842105
334,2022-11,Avalahalli,25.253333333333334
335,2022-12,Avalahalli,26.370967741935484
336,2019-01,Azad Nagar,29.23225806451613
337,2019-02,Azad Nagar,33.39642857142857
338,2019-03,Azad Nagar,37.29677419354839
339,2019-04,Azad Nagar,37.46
340,2019-05,Azad Nagar,33.9483870967742
341,2019-06,Azad Nagar,30.9
342,2019-07,Azad Nagar,31.122580645161293
343,2019-08,Azad Nagar,28.54193548387097
344,2019-09,Azad Nagar,30.11
345,2019-10,Azad Nagar,28.4
346,2019-11,Azad Nagar,28.31
347,2019-12,Azad Nagar,26.403225806451612
348,2022-01,Azad Nagar,28.083870967741937
349,2022-02,Azad Nagar,31.3
350,2022-03,Azad Nagar,32.91935483870968
351,2022-04,Azad Nagar,35.26
352,2022-05,Azad Nagar,29.945161290322584
353,2022-06,Azad Nagar,28.970000000000002
354,2022-07,Azad Nagar,27.10967741935484
355,2022-08,Azad Nagar,29.67096774193548
356,2022-09,Azad Nagar,29.623333333333335
357,2022-10,Azad Nagar,31.615789473684213
358,2022-11,Azad Nagar,25.013333333333332
359,2022-12,Azad Nagar,26.358064516129033
360,2019-01,BTM Layout,28.206451612903226
361,2019-02,BTM Layout,32.278571428571425
362,2019-03,BTM Layout,36.099999999999994
363,2019-04,BTM Layout,36.45
364,2019-05,BTM Layout,33.141935483870974
365,2019-06,BTM Layout,30.75
366,2019-07,BTM Layout,31.06451612903226
367,2019-08,BTM Layout,28.54193548387097
368,2019-09,BTM Layout,29.969999999999995
369,2019-10,BTM Layout,27.983870967741936
370,2019-11,BTM Layout,27.89
371,2019-12,BTM Layout,25.84193548387097
372,2022-01,BTM Layout,27.33225806451613
373,2022-02,BTM Layout,30.017857142857142
374,2022-03,BTM Layout,31.322580645161292
375,2022-04,BTM Layout,34.86666666666667
376,2022-05,BTM Layout,29.60645161290323
377,2022-06,BTM Layout,28.276666666666664
378,2022-07,BTM Layout,27.02258064516129
379,2022-08,BTM Layout,29.66774193548387
380,2022-09,BTM Layout,29.91
381,2022-10,BTM Layout,31.389473684210525
382,2022-11,BTM Layout,24.470000000000002
383,2022-12,BTM Layout,25.432258064516127
384,2019-01,Babusab Palya,28.293548387096774
385,2019-02,Babusab Palya,32.63214285714286
